team_id,team_name,city,founded,coach
1,"Olympiakos FC",Piraeus,1925,Michel
2,Panathinaikos,Athens,1908,"Ivan Jovanovic"
3,"AEK Athens",Athens,1924,"Matias Almeyda"
4,"PAOK FC",Thessaloniki,1926,"Razvan Lucescu"
5,"Aris FC",Thessaloniki,1914,"Akis Mantzios"
